source	sourceTitle	target	targetTitle
Aaron M. Bornstein	edu	Nathaniel D. Daw	orig
Aaron M. Bornstein	edu	Kenneth A. Norman	edu
Aaron M. Bornstein	edu	Daphna Shohamy	-
Aaron M. Bornstein	edu	Jonathan D. Cohen	orig
Aaron M. Bornstein	edu	Anthony D. Wagner	-
Aaron M. Bornstein	edu	Gary Glover	-
Aaron M. Bornstein	edu	Samuel Gershman	edu
Aaron M. Bornstein	edu	Yael Niv	edu
Aaron M. Bornstein	edu	Gary A Kane	-
Daphna Joel	-	Nathaniel D. Daw	orig
Daphna Joel	-	Yael Niv	edu
Jian Li	-	Nathaniel D. Daw	orig
Arthur B. Markman	-	Samuel Gershman	edu
Arthur B. Markman	-	Ross Otto	ca
Arthur B. Markman	-	Manish Saggar	orig
Darrell A. Worthy	-	Ross Otto	ca
Peter Stone	-	Ross Otto	ca
Catherine Hartley	edu	Ross Otto	ca
Catherine Hartley	edu	Elizabeth Phelps	-
Catherine Hartley	edu	John Gabrieli	-
Catherine Hartley	edu	Gary Glover	-
Catherine Hartley	edu	Samuel Gershman	edu
Catherine Hartley	edu	Nathaniel D. Daw	orig
Brian Knutson	orig	Florian Schlagenhauf	-
Brian Knutson	orig	Gregory Samanez-Larkin	-
Brian Knutson	orig	Jaak Panksepp	-
Brian Knutson	orig	G. Elliott Wimmer	-
Brian Knutson	orig	Camelia M. Kuhnen	-
Brian Knutson	orig	Jeffrey Burgdorf	-
Brian Knutson	orig	Torsten Wüstenberg	-
Brian Knutson	orig	Michael Koslowski	-
Brian Knutson	orig	Jeanne Tsai	-
Brian Knutson	orig	Gary Glover	-
Brian Knutson	orig	Laura L. Carstensen	-
Brian Knutson	orig	Logan Grosenick	-
Brian Knutson	orig	Thorsten Kahnt	-
Brian Knutson	orig	Stephanie M Greer	-
Brian Knutson	orig	George Loewenstein	-
Brian Knutson	orig	Scott Rick	-
Brian Knutson	orig	Drazen Prelec	-
Brian Knutson	orig	Charlene C. Wu	-
Brian Knutson	orig	I Gotlib	-
Brian Knutson	orig	Piotr Winkielman	-
Brian Knutson	orig	Nick Garber Hollon	-
Brian Knutson	orig	Victor I Reus MD	-
Brian Knutson	orig	Owen M Wolkowitz	-
Brian Knutson	orig	Jürgen Gallinat	-
Brian Knutson	orig	Matthew D. Sacchet	-
Brian Knutson	orig	suzanne n haber	-
Brian Knutson	orig	Matthew T Kaufman	edu
Brian Knutson	orig	Michael Bauer	-
Brian Knutson	orig	R. Alison Adcock	-
Brian Knutson	orig	Carolyn Yoon	-
Brian Knutson	orig	Uma R. Karmarkar	-
Brian Knutson	orig	Hal Hershfield	-
Brian Knutson	orig	Reza Momenan	-
Brian Knutson	orig	F. Xavier Castellanos	-
Brian Knutson	orig	Michael Milham	-
Brian Knutson	orig	Jamil Palacios Bhanji	-
Brian Knutson	orig	Karl Deisseroth	-
Brian Knutson	orig	Kelly Zalocusky	-
Brian Knutson	orig	Josiah Leong	-
Brian Knutson	orig	Philipp Sterzer	-
Brian Knutson	orig	John Gabrieli	-
Brian Knutson	orig	Susan whitfield-gabrieli	-
Brian Knutson	orig	Jonathan Taylor	-
Brian Knutson	orig	Martin Paulus	-
Brian Knutson	orig	Peter bossaerts	-
Brian Knutson	orig	Kelly H MacNiven	-
