source	sourceTitle	target	targetTitle
Giancarlo Vanini	orig	Viviane Hambrecht-Wiedbusch	edu
Chris Frith	uk	Philip Corlett	orig
Chris Frith	uk	Steve Fleming	uk
Brian Scholl	edu	Marvin M. Chun	edu
Brian Scholl	edu	Ken Nakayama	edu
Brian Scholl	edu	Emily J. Ward	orig
Michael Silver	edu	Rachel Denison	orig
Dobromir Rahnev	edu	Rachel Denison	orig
Dobromir Rahnev	edu	Hakwan Lau	orig
Dobromir Rahnev	edu	Li Yan McCurdy	edu
Elise Piazza	edu	Rachel Denison	orig
Elise Piazza	edu	Michael Silver	edu
Essa Yacoub	edu	Rachel Denison	orig
David A Feinberg	edu	Rachel Denison	orig
Anna C Nobre	uk	Rachel Denison	orig
Anna C Nobre	uk	Chris Frith	uk
Jon Driver (1962-2011)	uk	Rachel Denison	orig
Christian C. Ruff	ch	Rachel Denison	orig
Christian C. Ruff	ch	Jon Driver (1962-2011)	uk
Amit Yashar	il	Rachel Denison	orig
Paul Fletcher	uk	Prof. T.W. Robbins	uk
Paul Fletcher	uk	Philip Corlett	orig
Bradley R. Postle	edu	Thomas Sprague	edu
Bradley R. Postle	edu	Luca Iemi	edu
Bradley R. Postle	edu	Jason Samaha	orig
Bradley R. Postle	edu	Regina Lapate	edu
Adam Chekroud	edu	John Krystal	edu
Adam Chekroud	edu	Philip Corlett	orig
Adam Chekroud	edu	Avram Holmes	edu
Adam Chekroud	edu	Monica D. Rosenberg	edu
Adam Chekroud	edu	Emily J. Ward	orig
Philip Corlett	orig	Prof. T.W. Robbins	uk
Philip Corlett	orig	Xiao-Jing Wang	edu
Philip Corlett	orig	Sarah Kathryn Fineberg	edu
Bryan Reimer	edu	Lex Fridman	edu
Bryan Reimer	edu	Ruth Rosenholtz	orig
Lex Fridman	edu	Ruth Rosenholtz	orig
Benjamin A Wolfe	edu	Bryan Reimer	edu
Benjamin A Wolfe	edu	David Whitney	edu
Benjamin A Wolfe	edu	Ruth Rosenholtz	orig
Benjamin A Wolfe	edu	Patrick Cavanagh	ca
Benjamin A Wolfe	edu	Lex Fridman	edu
Helen A. Baghdoyan	edu	Ralph Lydic	edu
Brice Kuhl	edu	Marvin M. Chun	edu
Brice Kuhl	edu	Emily J. Ward	orig
Benjamin Balas	edu	Ruth Rosenholtz	orig
Allison Woodruff	com	Ruth Rosenholtz	orig
Allison Woodruff	com	Andrew Faulring	edu
Jitendra Malik	edu	Ruth Rosenholtz	orig
Alvin Raj	edu	Ruth Rosenholtz	orig
Andrew Faulring	edu	Ruth Rosenholtz	orig
